AOR51360.1	Anopheles flavivirus variant 2	UDL13962.1	Xiangshan orthomyxo-like virus
		UDL13961.1	Xiangshan orthomyxo-like virus
		UAJ23569.1	Granville quaranjavirus
		UAJ23566.1	Granville quaranjavirus
		QYW05797.1	Orthomyxoviridae sp.
		QWC36499.1	Bemisia tabaci Quaranja-like virus 3
		QWC36489.1	Bemisia tabaci Quaranja-like virus 1
		QWC36487.1	Bemisia tabaci Quaranja-like virus 1
		QVG74785.1	Orthomyxoviridae sp.
		QTW97779.1	Wuhan Mosquito Virus 5
		QRW42666.1	Usinis virus
		QRW42645.1	Usinis virus
		QRW42616.1	Usinis virus
		QRW42591.1	Guadeloupe mosquito quaranja-like virus 1
		QRW42586.1	Guadeloupe mosquito quaranja-like virus 1
		QRW42581.1	Guadeloupe mosquito quaranja-like virus 1
		QRW42580.1	Guadeloupe mosquito quaranja-like virus 1
		QRW42569.1	Astopletus virus
		QRW42567.1	Astopletus virus
		QRW42562.1	Astopletus virus
		QRW42436.1	Wuhan Mosquito Virus 6
		QRW42407.1	Wuhan Mosquito Virus 6
		QRD99920.1	Culex pipiens orthomyxo-like virus
		QRD99918.1	Culex pipiens orthomyxo-like virus
		QRD99917.1	Culex modestus orthomyxo-like virus
		QRD99916.1	Culex modestus orthomyxo-like virus
		QRD99914.1	Culex modestus orthomyxo-like virus
		QRD99912.1	Aedes detritus orthomyxo-like virus
		QRD99911.1	Aedes detritus orthomyxo-like virus
		QRD99910.1	Aedes detritus orthomyxo-like virus
		QPN36968.1	Ganwon-do orthomyxo-like virus
		QPL15393.1	Hymenopteran orthomyxo-related virus OKIAV171
		QPL15348.1	Hymenopteran orthomyxo-related virus OKIAV175
		QPL15321.1	Hemipteran orthomyxo-related virus OKIAV187
		QPL15320.1	Neuropteran orthomyxo-related virus OKIAV190
		QPL15318.1	Raphidiopteran orthomyxo-related virus OKIAV180
		QPL15306.1	Hemipteran orthomyxo-related virus OKIAV211
		QPA18210.1	Batken virus
		QPA18208.1	Batken virus
		QPA18207.1	Batken virus
		QNQ73515.1	Insect orthomyxo-like virus 1
		QMP82400.1	Dermapteran orthomyxo-related virus OKIAV170
		QMP82396.1	Coleopteran orthomyxo-related virus OKIAV158
		QMP82390.1	Dipteran orthomyxo-related virus OKIAV195
		QMP82385.1	Dipteran orthomyxo-related virus OKIAV195
		QMP82375.1	Hemipteran orthomyxo-related virus OKIAV183
		QMP82343.1	Hemipteran orthomyxo-related virus OKIAV188
		QMP82297.1	Phasmatodean orthomyxo-related virus OKIAV172
		QMP82275.1	Coleopteran orthomyxo-related virus OKIAV179
		QMP82186.1	Dipteran orthomyxo-related virus OKIAV193
		QMP82135.1	Dipteran orthomyxo-related virus OKIAV193
		QJQ28691.1	Pilchard orthomyxovirus
		QJQ28584.1	Pilchard orthomyxovirus
		QJQ28580.1	Pilchard orthomyxovirus
		QJQ28579.1	Pilchard orthomyxovirus
		QGA87316.1	Culex orthomyxo-like virus
		QGA70921.1	Wuhan Mosquito Virus 4
		QFR36192.1	Thailand tick thogotovirus
		QFR36190.1	Thailand tick thogotovirus
		QFR36189.1	Thailand tick thogotovirus
		QEM39328.1	Guadeloupe mosquito quaranja-like virus 3
		QEM39323.1	Guadeloupe mosquito quaranja-like virus 3
		QAY29268.1	Bombus-associated virus Orth1
		NP_056661.1	Influenza B virus (B/Lee/1940)
		NP_056659.1	Influenza B virus (B/Lee/1940)
		NP_056657.1	Influenza B virus (B/Lee/1940)
